PROCEDURE CODE,LONG DESCRIPTION,SHORT DESCRIPTION,CODE,CODE1,
110,Magnetic removal of embedded foreign body from cornea,Magnet removal cornea FB,110,1100,
111,Incision of cornea,Corneal incision,111,1110,
1121,Scraping of cornea for smear or culture,Corneal scrape for smear,1121,11210,
1122,Biopsy of cornea,Corneal biopsy,1122,11220,
1129,Other diagnostic procedures on cornea,Corneal dx proc NEC,1129,11290,
1131,Transposition of pterygium,Pterygium transposition,1131,11310,
1132,Excision of pterygium with corneal graft,Pteryg exc w cornea grft,1132,11320,
1139,Other excision of pterygium,Pterygium excision NEC,1139,11390,
1141,Mechanical removal of corneal epithelium,Mech remov cornea epith,1141,11410,
1142,Thermocauterization of corneal lesion,Thermocaut cornea lesion,1142,11420,
1143,Cryotherapy of corneal lesion,Cryotherap cornea lesion,1143,11430,
1149,Other removal or destruction of corneal lesion,Destruct cornea les NEC,1149,11490,
1151,Suture of corneal laceration,Suture cornea laceration,1151,11510,
1152,Repair of postoperative wound dehiscence of cornea,Rep cornea postop dehisc,1152,11520,
1153,Repair of corneal laceration or wound with conjunctival flap,Rx cornea lac w conj flp,1153,11530,
1159,Other repair of cornea,Corneal repair NEC,1159,11590,
1160,"Corneal transplant, not otherwise specified",Corneal transplant NOS,1160,11600,
1161,Lamellar keratoplasty with autograft,Lam keratplast w autgrft,1161,11610,
1162,Other lamellar keratoplasty,Lamellar keratoplast NEC,1162,11620,
1163,Penetrating keratoplasty with autograft,Perf keratopl w autogrft,1163,11630,
1164,Other penetrating keratoplasty,Perforat keratoplast NEC,1164,11640,
1169,Other corneal transplant,Corneal transplant NEC,1169,11690,
1171,Keratomileusis,Keratomileusis,1171,11710,
1172,Keratophakia,Keratophakia,1172,11720,
1173,Keratoprosthesis,Keratoprosthesis,1173,11730,
1174,Thermokeratoplasty,Thermokeratoplasty,1174,11740,
1175,Radial keratotomy,Radial keratotomy,1175,11750,
1176,Epikeratophakia,Epikeratophakia,1176,11760,
1179,Other reconstructive and refractive surgery on cornea,Cornea reconstruct NEC,1179,11790,
1191,Tattooing of cornea,Corneal tattooing,1191,11910,
1192,Removal of artificial implant from cornea,Remove corneal implant,1192,11920,
1199,Other operations on cornea,Corneal operation NEC,1199,11990,
1200,"Removal of intraocular foreign body from anterior segment of eye, not otherwise specified",Remov ant segmnt FB NOS,1200,12000,
1201,Removal of intraocular foreign body from anterior segment of eye with use of magnet,Magnet remov ant seg FB,1201,12010,
1202,Removal of intraocular foreign body from anterior segment of eye without use of magnet,Nonmag remov ant seg FB,1202,12020,
1211,Iridotomy with transfixion,Iridotomy w transfixion,1211,12110,
1212,Other iridotomy,Iridotomy NEC,1212,12120,
1213,Excision of prolapsed iris,Prolapsed iris excision,1213,12130,
1214,Other iridectomy,Iridectomy NEC,1214,12140,
1221,Diagnostic aspiration of anterior chamber of eye,Dx aspirat-ant chamber,1221,12210,
1222,Biopsy of iris,Iris biopsy,1222,12220,
1229,"Other diagnostic procedures on iris, ciliary body, sclera, and anterior chamber",Ant segment dx proc NEC,1229,12290,
1231,Lysis of goniosynechiae,Goniosynechiae lysis,1231,12310,
1232,Lysis of other anterior synechiae,Ant synechia lysis NEC,1232,12320,
1233,Lysis of posterior synechiae,Post synechiae lysis,1233,12330,
1234,Lysis of corneovitreal adhesions,Corneovitreal adhesiolys,1234,12340,
1235,Coreoplasty,Coreoplasty,1235,12350,
1239,Other iridoplasty,Iridoplasty NEC,1239,12390,
1240,"Removal of lesion of anterior segment of eye, not otherwise specified",Remov ant segmnt les NOS,1240,12400,
1241,"Destruction of lesion of iris, nonexcisional",Nonexc destruc iris les,1241,12410,
1242,Excision of lesion of iris,Excision of iris lesion,1242,12420,
1243,"Destruction of lesion of ciliary body, nonexcisional",Nonexc destr cil bod les,1243,12430,
1244,Excision of lesion of ciliary body,Excise ciliary body les,1244,12440,
1251,Goniopuncture without goniotomy,Goniopuncture,1251,12510,
1252,Goniotomy without goniopuncture,Goniotomy,1252,12520,
1253,Goniotomy with goniopuncture,Goniotomy w goniopunctur,1253,12530,
1254,Trabeculotomy ab externo,Trabeculotomy ab externo,1254,12540,
1255,Cyclodialysis,Cyclodialysis,1255,12550,
1259,Other facilitation of intraocular circulation,Facilit intraoc circ NEC,1259,12590,
1261,Trephination of sclera with iridectomy,Trephin sclera w iridect,1261,12610,
1262,Thermocauterization of sclera with iridectomy,Thermcaut scler w iridec,1262,12620,
1263,Iridencleisis and iridotasis,Iridencleisis/iridotasis,1263,12630,
1264,Trabeculectomy ab externo,Trabeculectom ab externo,1264,12640,
1265,Other scleral fistulization with iridectomy,Scler fistuliz w iridect,1265,12650,
1266,Postoperative revision of scleral fistulization procedure,Postop revis scl fistul,1266,12660,
1267,Insertion of aqueous drainage device,Insert aqueous drain dev,1267,12670,
1269,Other scleral fistulizing procedure,Scler fistulizing op NEC,1269,12690,
1271,Cyclodiathermy,Cyclodiathermy,1271,12710,
1272,Cyclocryotherapy,Cyclocryotherapy,1272,12720,
1273,Cyclophotocoagulation,Cyclophotocoagulation,1273,12730,
1274,"Diminution of ciliary body, not otherwise specified",Cil body diminution NOS,1274,12740,
1279,Other glaucoma procedures,Glaucoma procedure NEC,1279,12790,
1281,Suture of laceration of sclera,Suture scleral lacer,1281,12810,
1282,Repair of scleral fistula,Scleral fistula repair,1282,12820,
1283,"Revision of operative wound of anterior segment, not elsewhere classified",Revis ant seg op wnd NEC,1283,12830,
1284,Excision or destruction of lesion of sclera,Destruct scleral lesion,1284,12840,
1285,Repair of scleral staphyloma with graft,Repair staphylom w graft,1285,12850,
1286,Other repair of scleral staphyloma,Rep scler staphyloma NEC,1286,12860,
1287,Scleral reinforcement with graft,Graft reinforce sclera,1287,12870,
1288,Other scleral reinforcement,Sclera reinforcement NEC,1288,12880,
1289,Other operations on sclera,Scleral operation NEC,1289,12890,
1291,Therapeutic evacuation of anterior chamber,Therapeut evac ant chamb,1291,12910,
1292,Injection into anterior chamber,Anterior chamber inject,1292,12920,
1293,Removal or destruction of epithelial downgrowth from anterior chamber,Remov epithel downgrowth,1293,12930,
1297,Other operations on iris,Iris operation NEC,1297,12970,
1298,Other operations on ciliary body,Ciliary body op NEC,1298,12980,
1299,Other operations on anterior chamber,Anterior chamber op NEC,1299,12990,
1300,"Removal of foreign body from lens, not otherwise specified",Remove FB lens NOS,1300,13000,
1301,Removal of foreign body from lens with use of magnet,Magnet remove FB lens,1301,13010,
1302,Removal of foreign body from lens without use of magnet,Nonmagnet remove FB lens,1302,13020,
1311,Intracapsular extraction of lens by temporal inferior route,Temp-inf intrcap lens ex,1311,13110,
1319,Other intracapsular extraction of lens,Intracapsul lens ext NEC,1319,13190,
132,Extracapsular extraction of lens by linear extraction technique,Linear extracap lens ext,132,1320,
133,Extracapsular extraction of lens by simple aspiration (and irrigation) technique,Simpl aspir lens extract,133,1330,
1341,Phacoemulsification and aspiration of cataract,Catarac phacoemuls/aspir,1341,13410,
1342,Mechanical phacofragmentation and aspiration of cataract by posterior route,Post catarac frag/aspir,1342,13420,
1343,Mechanical phacofragmentation and other aspiration of cataract,Cataract frag/aspir NEC,1343,13430,
1351,Extracapsular extraction of lens by temporal inferior route,Temp-inf xtracap lens ex,1351,13510,
1359,Other extracapsular extraction of lens,Extracap lens extrac NEC,1359,13590,
1364,Discission of secondary membrane [after cataract],After-catar discission,1364,13640,
1365,Excision of secondary membrane [after cataract],After-cataract excision,1365,13650,
1366,Mechanical fragmentation of secondary membrane [after cataract],After catar fragmntation,1366,13660,
1369,Other cataract extraction,Cataract extraction NEC,1369,13690,
1370,"Insertion of pseudophakos, not otherwise specified",Insert pseudophakos NOS,1370,13700,
1371,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage",Insert lens at catar ext,1371,13710,
1372,Secondary insertion of intraocular lens prosthesis,Secondary insert lens,1372,13720,
138,Removal of implanted lens,Implanted lens removal,138,1380,
1390,"Operation on lens, not elsewhere classified",Operation on lens NEC,1390,13900,
1391,Implantation of intraocular telescope prosthesis,Impl intraoc telesc pros,1391,13910,
1400,"Removal of foreign body from posterior segment of eye, not otherwise specified",Remov post segmnt FB NOS,1400,14000,
1401,Removal of foreign body from posterior segment of eye with use of magnet,Magnet remov post seg FB,1401,14010,
1402,Removal of foreign body from posterior segment of eye without use of magnet,Nonmag remov post seg FB,1402,14020,
1411,Diagnostic aspiration of vitreous,Diagnost vitreous aspir,1411,14110,
1419,"Other diagnostic procedures on retina, choroid, vitreous, and posterior chamber",Dx proc post seg NEC,1419,14190,
1421,Destruction of chorioretinal lesion by diathermy,Chorioret les diathermy,1421,14210,
1422,Destruction of chorioretinal lesion by cryotherapy,Chorioretin les cryother,1422,14220,
1423,Destruction of chorioretinal lesion by xenon arc photocoagulation,Chorioret les xenon coag,1423,14230,
1424,Destruction of chorioretinal lesion by laser photocoagulation,Chorioret les laser coag,1424,14240,
1425,Destruction of chorioretinal lesion by photocoagulation of unspecified type,Chorioret les p/coag NOS,1425,14250,
1426,Destruction of chorioretinal lesion by radiation therapy,Chorioret les radiother,1426,14260,
1427,Destruction of chorioretinal lesion by implantation of radiation source,Chorioret les rad implan,1427,14270,
1429,Other destruction of chorioretinal lesion,Chorioret les destr NEC,1429,14290,
1431,Repair of retinal tear by diathermy,Retinal tear diathermy,1431,14310,
1432,Repair of retinal tear by cryotherapy,Retinal tear cryotherapy,1432,14320,
1433,Repair of retinal tear by xenon arc photocoagulation,Retinal tear xenon coag,1433,14330,
1434,Repair of retinal tear by laser photocoagulation,Retinal tear laser coag,1434,14340,
1435,Repair of retinal tear by photocoagulation of unspecified type,Retina tear photocoa NOS,1435,14350,
1439,Other repair of retinal tear,Retinal tear repair NEC,1439,14390,
1441,Scleral buckling with implant,Scleral buckle w implant,1441,14410,
1449,Other scleral buckling,Scleral buckling NEC,1449,14490,
1451,Repair of retinal detachment with diathermy,Detach retina-diathermy,1451,14510,
1452,Repair of retinal detachment with cryotherapy,Detach retina-cryotherap,1452,14520,
1453,Repair of retinal detachment with xenon arc photocoagulation,Detach retina xenon coag,1453,14530,
1454,Repair of retinal detachment with laser photocoagulation,Detach retina laser coag,1454,14540,
1455,Repair of retinal detachment with photocoagulation of unspecified type,Detach ret photocoag NOS,1455,14550,
1459,Other repair of retinal detachment,Repair retina detach NEC,1459,14590,
146,Removal of surgically implanted material from posterior segment of eye,Remov pros mat post seg,146,1460,
1471,"Removal of vitreous, anterior approach",Anterior remov vitreous,1471,14710,
1472,Other removal of vitreous,Vitreous removal NEC,1472,14720,
1473,Mechanical vitrectomy by anterior approach,Anterior mechan vitrect,1473,14730,
1474,Other mechanical vitrectomy,Mech vitrectomy NEC,1474,14740,
1475,Injection of vitreous substitute,Vitreous substitut injec,1475,14750,
1479,Other operations on vitreous,Vitreous operation NEC,1479,14790,
1481,Implantation of epiretinal visual prosthesis,Imp epiretinal prosth,1481,14810,
1482,Removal of epiretinal visual prosthesis,Rem epiretinal prosth,1482,14820,
1483,Revision or replacement of epiretinal visual prosthesis,Rev/repl epiretinal pros,1483,14830,
149,"Other operations on retina, choroid, and posterior chamber",Other post segment ops,149,1490,
1501,Biopsy of extraocular muscle or tendon,Extraoc musc-tend biopsy,1501,15010,
1509,Other diagnostic procedures on extraocular muscles and tendons,Extraoc musc dx proc NEC,1509,15090,
1511,Recession of one extraocular muscle,One extraoc mus recess,1511,15110,
1512,Advancement of one extraocular muscle,1 extraoc muscl advance,1512,15120,
1513,Resection of one extraocular muscle,1 extraoc muscl resect,1513,15130,
1519,Other operations on one extraocular muscle involving temporary detachment from globe,Xtraoc mus op/detach NEC,1519,15190,
1521,Lengthening procedure on one extraocular muscle,Lengthen 1 extraoc musc,1521,15210,
1522,Shortening procedure on one extraocular muscle,Shorten 1 extraoc musc,1522,15220,
1529,Other operations on one extraocular muscle,Op on 1 extraoc musc NEC,1529,15290,
153,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes",Temp detach >1 xtroc mus,153,1530,
154,"Other operations on two or more extraocular muscles, one or both eyes",Oth op on >l extraoc mus,154,1540,
155,Transposition of extraocular muscles,Extraocul mus transposit,155,1550,
156,Revision of extraocular muscle surgery,Revis extraoc musc surg,156,1560,
157,Repair of injury of extraocular muscle,Extraoc musc inj repair,157,1570,
159,Other operations on extraocular muscles and tendons,Oth extraoc mus-tend op,159,1590,
1601,Orbitotomy with bone flap,Orbitotomy w bone flap,1601,16010,
1602,Orbitotomy with insertion of orbital implant,Orbitotomy w implant,1602,16020,
1609,Other orbitotomy,Orbitotomy NEC,1609,16090,
161,"Removal of penetrating foreign body from eye, not otherwise specified",Remove penetrat FB eye,161,1610,
1621,Ophthalmoscopy,Ophthalmoscopy,1621,16210,
1622,Diagnostic aspiration of orbit,Diagnostic asp of orbit,1622,16220,
1623,Biopsy of eyeball and orbit,Eyeball & orbit biopsy,1623,16230,
1629,Other diagnostic procedures on orbit and eyeball,Eyebal/orbit dx proc NEC,1629,16290,
1631,Removal of ocular contents with synchronous implant into scleral shell,Eye evisc w synch implan,1631,16310,
1639,Other evisceration of eyeball,Eyeball evisceration NEC,1639,16390,
1641,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles,Eye enuc/implan/musc att,1641,16410,
1642,Enucleation of eyeball with other synchronous implant,Eye enuc w implant NEC,1642,16420,
